Date,Carne Vacuna
2010-01-01,3.02
2010-02-01,3.21
2010-03-01,3.4
2010-04-01,3.66
2010-05-01,3.58
2010-06-01,3.33
2010-07-01,3.27
2010-08-01,3.41
2010-09-01,3.39
2010-10-01,3.37
2010-11-01,3.5
2010-12-01,3.88
2011-01-01,4.19
2011-02-01,4.08
2011-03-01,4.19
2011-04-01,4.33
2011-05-01,4.16
2011-06-01,3.94
2011-07-01,3.94
2011-08-01,3.93
2011-09-01,3.83
2011-10-01,3.92
2011-11-01,4.2
2011-12-01,4.22
2012-01-01,4.26
2012-02-01,4.31
2012-03-01,4.35
2012-04-01,4.29
2012-05-01,4.22
2012-06-01,4.12
2012-07-01,4.03
2012-08-01,4.1
2012-09-01,4.06
2012-10-01,4.07
2012-11-01,4.29
2012-12-01,4.37
2013-01-01,4.36
2013-02-01,4.35
2013-03-01,4.29
2013-04-01,4.27
2013-05-01,4.1
2013-06-01,3.93
2013-07-01,3.94
2013-08-01,3.95
2013-09-01,3.99
2013-10-01,4.04
2013-11-01,4.14
2013-12-01,4.18
2014-01-01,4.18
2014-02-01,4.28
2014-03-01,4.47
2014-04-01,4.35
2014-05-01,4.38
2014-06-01,4.54
2014-07-01,5.17
2014-08-01,5.79
2014-09-01,6.17
2014-10-01,5.95
2014-11-01,5.84
2014-12-01,5.46
2015-01-01,5.3
2015-02-01,4.88
2015-03-01,4.72
2015-04-01,4.82
2015-05-01,4.5
2015-06-01,4.44
2015-07-01,4.65
2015-08-01,4.77
2015-09-01,4.58
2015-10-01,4.24
2015-11-01,4.03
2015-12-01,3.8
2016-01-01,3.63
2016-02-01,3.86
2016-03-01,4.03
2016-04-01,3.96
2016-05-01,4.04
2016-06-01,4.11
2016-07-01,4.26
2016-08-01,4.24
2016-09-01,4.12
2016-10-01,4.04
2016-11-01,4.3
2016-12-01,4.14
2017-01-01,4.07
2017-02-01,4.23
2017-03-01,4.35
2017-04-01,4.41
2017-05-01,4.6
2017-06-01,4.68
2017-07-01,4.67
2017-08-01,4.47
2017-09-01,4.3
2017-10-01,4.25
2017-11-01,4.33
2017-12-01,4.28
2018-01-01,4.3
2018-02-01,4.35
2018-03-01,4.44
2018-04-01,4.38
2018-05-01,4.32
2018-06-01,4.24
2018-07-01,4.19
2018-08-01,4.11
2018-09-01,4.01
2018-10-01,3.86
2018-11-01,3.95
2018-12-01,4.19
2019-01-01,4.24
2019-02-01,4.28
2019-03-01,4.48
2019-04-01,4.7
2019-05-01,4.6
2019-06-01,4.63
2019-07-01,4.63
2019-08-01,4.6
2019-09-01,4.65
2019-10-01,4.86
2019-11-01,5.94
2019-12-01,5.56
2020-01-01,5.04
2020-02-01,4.72
2020-03-01,4.47
2020-04-01,4.45
2020-05-01,5.08
2020-06-01,5.1
2020-07-01,4.7
2020-08-01,4.63
2020-09-01,4.6
2020-10-01,4.42
2020-11-01,4.4
2020-12-01,4.4
2021-01-01,4.46
2021-02-01,4.66
2021-03-01,4.72
2021-04-01,5.17
2021-05-01,5.48
2021-06-01,5.68
2021-07-01,5.59
2021-08-01,5.61
2021-09-01,5.77
2021-10-01,5.53
2021-11-01,5.69
2021-12-01,5.75
2022-01-01,5.81
2022-02-01,5.99
2022-03-01,6.07
2022-04-01,5.97
2022-05-01,5.94
2022-06-01,5.81
2022-07-01,5.73
2022-08-01,5.57
2022-09-01,5.44
2022-10-01,5.33
2022-11-01,5.07
2022-12-01,4.71
2023-01-01,4.65
2023-02-01,4.65
2023-03-01,4.84
2023-04-01,5.3
2023-05-01,5.31
2023-06-01,5.01
2023-07-01,4.78
2023-08-01,4.73
2023-09-01,4.9
2023-10-01,4.98
2023-11-01,4.88
2023-12-01,4.79
2024-01-01,5.0
2024-02-01,5.38
2024-03-01,5.73
2024-04-01,6.05
2024-05-01,5.88
2024-06-01,5.85
2024-07-01,6.19
2024-08-01,6.34
2024-09-01,6.3
2024-10-01,6.06
2024-11-01,6.18
2024-12-01,6.23
2025-01-01,6.46
2025-02-01,6.62
2025-03-01,6.77
2025-04-01,6.71
2025-05-01,6.62
2025-06-01,6.409999847412109
2025-07-01,6.159999847412109
2025-08-01,5.809999942779541
2025-09-01,5.519999980926514
2025-10-01,5.369999885559082
2025-11-01,5.210000038146973
2025-12-01,5.03000020980835
2026-01-01,5.0
2026-02-01,4.920000076293945
2026-03-01,4.909999847412109
2026-04-01,4.920000076293945
2026-05-01,4.929999828338623
