Date,Trigo
2010-01-01,201.19
2010-02-01,194.0
2010-03-01,191.08
2010-04-01,192.87
2010-05-01,181.61
2010-06-01,157.67
2010-07-01,195.82
2010-08-01,246.25
2010-09-01,271.67
2010-10-01,270.23
2010-11-01,274.08
2010-12-01,306.52
2011-01-01,326.56
2011-02-01,348.12
2011-03-01,316.75
2011-04-01,336.12
2011-05-01,355.28
2011-06-01,326.43
2011-07-01,303.88
2011-08-01,327.07
2011-09-01,315.92
2011-10-01,289.01
2011-11-01,281.01
2011-12-01,269.03
2012-01-01,274.89
2012-02-01,277.77
2012-03-01,283.88
2012-04-01,266.32
2012-05-01,264.36
2012-06-01,276.19
2012-07-01,345.69
2012-08-01,349.4
2012-09-01,353.42
2012-10-01,358.2
2012-11-01,360.82
2012-12-01,347.96
2013-01-01,335.47
2013-02-01,318.94
2013-03-01,309.75
2013-04-01,308.28
2013-05-01,319.67
2013-06-01,313.42
2013-07-01,304.61
2013-08-01,305.34
2013-09-01,307.51
2013-10-01,325.69
2013-11-01,306.75
2013-12-01,291.56
2014-01-01,275.58
2014-02-01,292.11
2014-03-01,323.71
2014-04-01,324.81
2014-05-01,334.73
2014-06-01,306.44
2014-07-01,280.35
2014-08-01,263.45
2014-09-01,243.61
2014-10-01,245.45
2014-11-01,258.68
2014-12-01,269.7
2015-01-01,248.39
2015-02-01,237.0
2015-03-01,230.75
2015-04-01,223.4
2015-05-01,215.32
2015-06-01,209.81
2015-07-01,197.31
2015-08-01,179.68
2015-09-01,172.7
2015-10-01,172.71
2015-11-01,177.1
2015-12-01,189.23
2016-01-01,193.27
2016-02-01,187.03
2016-03-01,191.07
2016-04-01,187.39
2016-05-01,171.96
2016-06-01,173.06
2016-07-01,151.75
2016-08-01,149.18
2016-09-01,150.65
2016-10-01,151.75
2016-11-01,150.65
2016-12-01,141.83
2017-01-01,153.22
2017-02-01,155.06
2017-03-01,154.32
2017-04-01,166.08
2017-05-01,180.41
2017-06-01,189.6
2017-07-01,202.46
2017-08-01,171.23
2017-09-01,178.57
2017-10-01,175.63
2017-11-01,179.68
2017-12-01,184.09
2018-01-01,192.17
2018-02-01,192.17
2018-03-01,192.17
2018-04-01,213.85
2018-05-01,213.85
2018-06-01,219.36
2018-07-01,218.26
2018-08-01,236.63
2018-09-01,212.38
2018-10-01,213.48
2018-11-01,203.56
2018-12-01,211.28
2019-01-01,209.81
2019-02-01,218.99
2019-03-01,205.76
2019-04-01,199.52
2019-05-01,199.52
2019-06-01,206.13
2019-07-01,196.21
2019-08-01,181.15
2019-09-01,189.6
2019-10-01,199.52
2019-11-01,203.19
2019-12-01,210.91
2020-01-01,224.5
2020-02-01,215.32
2020-03-01,209.07
2020-04-01,218.99
2020-05-01,205.76
2020-06-01,198.42
2020-07-01,222.13
2020-08-01,223.0
2020-09-01,247.68
2020-10-01,272.36
2020-11-01,273.0
2020-12-01,268.55
2021-01-01,289.3
2021-02-01,289.4
2021-03-01,273.13
2021-04-01,280.95
2021-05-01,297.25
2021-06-01,285.55
2021-07-01,294.27
2021-08-01,324.52
2021-09-01,337.55
2021-10-01,354.67
2021-11-01,379.45
2021-12-01,376.81
2022-01-01,374.24
2022-02-01,390.5
2022-03-01,486.3
2022-04-01,495.28
2022-05-01,522.29
2022-06-01,459.59
2022-07-01,382.5
2022-08-01,382.86
2022-09-01,419.14
2022-10-01,437.95
2022-11-01,422.68
2022-12-01,386.33
2023-01-01,380.36
2023-02-01,394.75
2023-03-01,369.86
2023-04-01,378.18
2023-05-01,367.74
2023-06-01,345.5
2023-07-01,345.5
2023-08-01,315.82
2023-09-01,314.68
2023-10-01,298.1
2023-11-01,283.55
2023-12-01,291.12
2024-01-01,283.91
2024-02-01,278.5
2024-03-01,274.83
2024-04-01,272.3
2024-05-01,289.42
2024-06-01,265.55
2024-07-01,260.26
2024-08-01,250.85
2024-09-01,269.69
2024-10-01,272.85
2024-11-01,253.75
2024-12-01,252.17
2025-01-01,254.09
2025-02-01,264.61
2025-03-01,255.37
2025-04-01,249.58
2025-05-01,237.0
2025-06-01,238.3000030517578
2025-07-01,236.07000732421875
2025-08-01,228.6699981689453
2025-09-01,213.2899932861328
2025-10-01,211.2899932861328
2025-11-01,214.22999572753906
2025-12-01,212.89999389648438
2026-01-01,210.27000427246094
2026-02-01,208.00999450683594
2026-03-01,205.0800018310547
2026-04-01,202.4199981689453
2026-05-01,201.25
